condition,question_id,field,task_kind,total_runs,null_or_missing,nonnumeric,n,mean,sample_variance,sample_sd,cv,scope
prompt,Q06_publishers,top_publisher,answerable,5,0,5,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
prompt,Q06_publishers,top_publisher_global_sales,answerable,5,0,0,5,883.89,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,A01_profit,net_profit_usd,adversarial,5,5,0,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,A02_reviews,mean_critic_score,adversarial,5,5,0,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,A03_distribution,digital_sales_share_percent,adversarial,5,5,0,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,A04_causality,causal_sales_increase_millions,adversarial,5,5,0,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,A05_transaction_year,sales_transacted_in_2008_millions,adversarial,5,4,0,1,678.9,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,A06_population,all_games_released_2008,adversarial,5,5,0,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q01_quality,missing_year_rows,answerable,5,0,0,5,271.0,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q01_quality,out_of_range_year_rows,answerable,5,0,0,5,4.0,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q01_quality,missing_publisher_rows,answerable,5,0,0,5,58.0,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q02_top_games,top_game_name,answerable,5,0,5,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q02_top_games,top_game_platform,answerable,5,0,5,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q02_top_games,top_game_global_sales,answerable,5,0,0,5,82.74,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q02_top_games,second_game_name,answerable,5,0,5,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q02_top_games,second_game_global_sales,answerable,5,0,0,5,40.24,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q03_release_year,peak_release_year,answerable,5,0,0,5,2008.0,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q03_release_year,peak_release_year_global_sales,answerable,5,0,0,5,678.9,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q04_regions,na_top_genre,answerable,5,0,5,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q04_regions,na_top_genre_sales,answerable,5,0,0,5,877.83,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q04_regions,eu_top_genre,answerable,5,0,5,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q04_regions,eu_top_genre_sales,answerable,5,0,0,5,525.0,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q04_regions,jp_top_genre,answerable,5,0,5,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q04_regions,jp_top_genre_sales,answerable,5,0,0,5,352.31,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q05_filtered,matching_rows,answerable,5,0,0,5,138.0,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q05_filtered,global_sales_total,answerable,5,0,0,5,324.24,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q06_publishers,top_publisher,answerable,5,0,5,0,,,,,conditional on finite asserted values; numerical stability does not establish correctness
verified,Q06_publishers,top_publisher_global_sales,answerable,5,0,0,5,883.89,0.0,0.0,0.0,conditional on finite asserted values; numerical stability does not establish correctness
