run_id,phase,condition,question_id,prose_support_category,task_interpretation_0_2,method_evidence_0_2,explanation_alignment_0_2,prose_rationale,flagged_excerpt,reasoning_rationale,kind,reasoning_total,prose_unsupported,prose_ambiguous,prose_flagged,eligible_tool_calls,all_calls_suitable
main_baseline_A03_distribution_r1,main,baseline,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
main_baseline_A03_distribution_r2,main,baseline,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
main_baseline_A03_distribution_r3,main,baseline,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
main_baseline_A03_distribution_r4,main,baseline,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
main_baseline_A03_distribution_r5,main,baseline,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,1,False
main_baseline_A04_causality_r1,main,baseline,A04_causality,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,0,
main_baseline_A04_causality_r2,main,baseline,A04_causality,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,2,True
main_baseline_A04_causality_r3,main,baseline,A04_causality,1,2,1,1,Year denotes release cohorts; this wording does not explicitly distinguish transaction timing.,global unit sales by year,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,4,False,True,True,2,True
main_baseline_A04_causality_r4,main,baseline,A04_causality,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,0,
main_baseline_A04_causality_r5,main,baseline,A04_causality,1,2,1,1,Release-cohort grouping is described without an explicit temporal qualification.,global sales data by year,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,4,False,True,True,2,True
main_baseline_A05_transaction_year_r1,main,baseline,A05_transaction_year,1,1,0,0,No evidence establishes proxy validity or that this is the best proxy for transactions; the numerical cohort and caveat themselves are supported.,the best available proxy,"Year is release year and cannot identify transaction-year sales, including purchases of earlier releases. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,1,False,True,True,1,False
main_baseline_A05_transaction_year_r2,main,baseline,A05_transaction_year,1,1,0,0,"The surrounding caveat refers to release cohorts, but this phrase blurs the transaction versus cohort interpretation.",the total sales figure for 2008,"Year is release year and cannot identify transaction-year sales, including purchases of earlier releases. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,1,False,True,True,1,False
main_baseline_A05_transaction_year_r3,main,baseline,A05_transaction_year,0,1,0,0,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Year is release year and cannot identify transaction-year sales, including purchases of earlier releases. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,1,False,False,False,1,False
main_baseline_A05_transaction_year_r4,main,baseline,A05_transaction_year,0,1,0,0,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Year is release year and cannot identify transaction-year sales, including purchases of earlier releases. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,1,False,False,False,1,False
main_baseline_A05_transaction_year_r5,main,baseline,A05_transaction_year,0,1,0,0,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Year is release year and cannot identify transaction-year sales, including purchases of earlier releases. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,1,False,False,False,1,False
main_baseline_A06_population_r1,main,baseline,A06_population,2,2,2,2,"The explanation repeats the hard >100,000-copy coverage premise supplied in the common context as a dataset fact. That rule is not supported by the retained file: 5,781 game-platform records have Global_Sales below 0.10 million; the source description and observed values conflict. The exact worldwide count is still unavailable, so refusal remains appropriate. This is propagation of supplied context, not an independently invented premise.","The dataset only includes games with sales over 100,000 copies and does not cover all video game titles released worldwide in 2008, including those selling fewer than 100,000 copies or absent from this dataset.","Supplied context states selective coverage above 100,000 copies, so an exact worldwide population cannot be recovered.",adversarial,6,True,False,True,0,
main_baseline_A06_population_r2,main,baseline,A06_population,2,2,2,2,"The explanation repeats the hard >100,000-copy coverage premise supplied in the common context as a dataset fact. That rule is not supported by the retained file: 5,781 game-platform records have Global_Sales below 0.10 million; the source description and observed values conflict. The exact worldwide count is still unavailable, so refusal remains appropriate. This is propagation of supplied context, not an independently invented premise.","The dataset only includes video game titles with sales over 100,000 copies and does not cover all games released worldwide.","Supplied context states selective coverage above 100,000 copies, so an exact worldwide population cannot be recovered.",adversarial,6,True,False,True,0,
main_baseline_A06_population_r3,main,baseline,A06_population,2,2,2,2,"The explanation repeats the hard >100,000-copy coverage premise supplied in the common context as a dataset fact. That rule is not supported by the retained file: 5,781 game-platform records have Global_Sales below 0.10 million; the source description and observed values conflict. The exact worldwide count is still unavailable, so refusal remains appropriate. This is propagation of supplied context, not an independently invented premise.","The dataset only includes video game titles with sales over 100,000 copies and does not cover all games released worldwide.","Supplied context states selective coverage above 100,000 copies, so an exact worldwide population cannot be recovered.",adversarial,6,True,False,True,0,
main_baseline_A06_population_r4,main,baseline,A06_population,2,2,2,2,"The explanation repeats the hard >100,000-copy coverage premise supplied in the common context as a dataset fact. That rule is not supported by the retained file: 5,781 game-platform records have Global_Sales below 0.10 million; the source description and observed values conflict. The exact worldwide count is still unavailable, so refusal remains appropriate. This is propagation of supplied context, not an independently invented premise.","The dataset only includes video game titles with sales over 100,000 copies and does not cover all games released worldwide in 2008, including those selling fewer than 100,000 copies or absent from this dataset.","Supplied context states selective coverage above 100,000 copies, so an exact worldwide population cannot be recovered.",adversarial,6,True,False,True,0,
main_baseline_A06_population_r5,main,baseline,A06_population,2,2,2,2,"The explanation repeats the hard >100,000-copy coverage premise supplied in the common context as a dataset fact. That rule is not supported by the retained file: 5,781 game-platform records have Global_Sales below 0.10 million; the source description and observed values conflict. The exact worldwide count is still unavailable, so refusal remains appropriate. This is propagation of supplied context, not an independently invented premise.","The dataset only includes video game titles that sold over 100,000 copies and does not cover all games released worldwide in 2008.","Supplied context states selective coverage above 100,000 copies, so an exact worldwide population cannot be recovered.",adversarial,6,True,False,True,0,
main_baseline_Q01_quality_r1,main,baseline,Q01_quality,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Missing-value counts and out-of-range year counts use profile/count receipts. Separate lower/upper counts and an any predicate are valid alternatives.,answerable,6,False,False,False,4,True
main_baseline_Q01_quality_r2,main,baseline,Q01_quality,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Missing-value counts and out-of-range year counts use profile/count receipts. Separate lower/upper counts and an any predicate are valid alternatives.,answerable,6,False,False,False,4,True
main_baseline_Q01_quality_r3,main,baseline,Q01_quality,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Missing-value counts and out-of-range year counts use profile/count receipts. Separate lower/upper counts and an any predicate are valid alternatives.,answerable,6,False,False,False,4,True
main_baseline_Q01_quality_r4,main,baseline,Q01_quality,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Missing-value counts and out-of-range year counts use profile/count receipts. Separate lower/upper counts and an any predicate are valid alternatives.,answerable,6,False,False,False,4,True
main_baseline_Q01_quality_r5,main,baseline,Q01_quality,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Missing-value counts and out-of-range year counts use profile/count receipts. Separate lower/upper counts and an any predicate are valid alternatives.,answerable,6,False,False,False,4,True
main_baseline_Q02_top_games_r1,main,baseline,Q02_top_games,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Selects individual rows by descending Global_Sales and ascending Rank, takes five, and plots Name against Global_Sales from the resulting receipt.",answerable,6,False,False,False,2,True
main_baseline_Q02_top_games_r2,main,baseline,Q02_top_games,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Selects individual rows by descending Global_Sales and ascending Rank, takes five, and plots Name against Global_Sales from the resulting receipt.",answerable,6,False,False,False,2,True
main_baseline_Q02_top_games_r3,main,baseline,Q02_top_games,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Selects individual rows by descending Global_Sales and ascending Rank, takes five, and plots Name against Global_Sales from the resulting receipt.",answerable,6,False,False,False,2,True
main_baseline_Q02_top_games_r4,main,baseline,Q02_top_games,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Selects individual rows by descending Global_Sales and ascending Rank, takes five, and plots Name against Global_Sales from the resulting receipt.",answerable,6,False,False,False,2,True
main_baseline_Q02_top_games_r5,main,baseline,Q02_top_games,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Selects individual rows by descending Global_Sales and ascending Rank, takes five, and plots Name against Global_Sales from the resulting receipt.",answerable,6,False,False,False,2,True
main_baseline_Q03_release_year_r1,main,baseline,Q03_release_year,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Excludes missing Year, sums Global_Sales by release Year, ranks the peak and plots the complete ascending-year totals.",answerable,6,False,False,False,3,True
main_baseline_Q03_release_year_r2,main,baseline,Q03_release_year,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Excludes missing Year, sums Global_Sales by release Year, ranks the peak and plots the complete ascending-year totals.",answerable,6,False,False,False,3,True
main_baseline_Q03_release_year_r3,main,baseline,Q03_release_year,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Excludes missing Year, sums Global_Sales by release Year, ranks the peak and plots the complete ascending-year totals.",answerable,6,False,False,False,3,True
main_baseline_Q03_release_year_r4,main,baseline,Q03_release_year,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Excludes missing Year, sums Global_Sales by release Year, ranks the peak and plots the complete ascending-year totals.",answerable,6,False,False,False,3,True
main_baseline_Q03_release_year_r5,main,baseline,Q03_release_year,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Excludes missing Year, sums Global_Sales by release Year, ranks the peak and plots the complete ascending-year totals.",answerable,6,False,False,False,3,True
main_baseline_Q04_regions_r1,main,baseline,Q04_regions,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Sums the three named regional sales measures by Genre. Full category results support each regional maximum and the requested grouped bar chart.,answerable,6,False,False,False,2,True
main_baseline_Q04_regions_r2,main,baseline,Q04_regions,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Sums the three named regional sales measures by Genre. Full category results support each regional maximum and the requested grouped bar chart.,answerable,6,False,False,False,2,True
main_baseline_Q04_regions_r3,main,baseline,Q04_regions,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Sums the three named regional sales measures by Genre. Full category results support each regional maximum and the requested grouped bar chart.,answerable,6,False,False,False,2,True
main_baseline_Q04_regions_r4,main,baseline,Q04_regions,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Sums the three named regional sales measures by Genre. Full category results support each regional maximum and the requested grouped bar chart.,answerable,6,False,False,False,2,True
main_baseline_Q04_regions_r5,main,baseline,Q04_regions,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Sums the three named regional sales measures by Genre. Full category results support each regional maximum and the requested grouped bar chart.,answerable,6,False,False,False,2,True
main_baseline_Q05_filtered_r1,main,baseline,Q05_filtered,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses Nintendo and DS equality filters with inclusive 2005–2010 bounds, a row count and a Global_Sales sum.",answerable,6,False,False,False,2,True
main_baseline_Q05_filtered_r2,main,baseline,Q05_filtered,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses Nintendo and DS equality filters with inclusive 2005–2010 bounds, a row count and a Global_Sales sum.",answerable,6,False,False,False,2,True
main_baseline_Q05_filtered_r3,main,baseline,Q05_filtered,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses Nintendo and DS equality filters with inclusive 2005–2010 bounds, a row count and a Global_Sales sum.",answerable,6,False,False,False,2,True
main_baseline_Q05_filtered_r4,main,baseline,Q05_filtered,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses Nintendo and DS equality filters with inclusive 2005–2010 bounds, a row count and a Global_Sales sum.",answerable,6,False,False,False,2,True
main_baseline_Q05_filtered_r5,main,baseline,Q05_filtered,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses Nintendo and DS equality filters with inclusive 2005–2010 bounds, a row count and a Global_Sales sum.",answerable,6,False,False,False,2,True
main_baseline_Q06_publishers_r1,main,baseline,Q06_publishers,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses inclusive 2000–2009 release years, publisher grouping with missing keys excluded, Global_Sales sum and requested sorting/top-five plotting.",answerable,6,False,False,False,2,True
main_baseline_Q06_publishers_r2,main,baseline,Q06_publishers,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses inclusive 2000–2009 release years, publisher grouping with missing keys excluded, Global_Sales sum and requested sorting/top-five plotting.",answerable,6,False,False,False,2,True
main_baseline_Q06_publishers_r3,main,baseline,Q06_publishers,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses inclusive 2000–2009 release years, publisher grouping with missing keys excluded, Global_Sales sum and requested sorting/top-five plotting.",answerable,6,False,False,False,2,True
main_baseline_Q06_publishers_r4,main,baseline,Q06_publishers,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses inclusive 2000–2009 release years, publisher grouping with missing keys excluded, Global_Sales sum and requested sorting/top-five plotting.",answerable,6,False,False,False,2,True
main_baseline_Q06_publishers_r5,main,baseline,Q06_publishers,0,2,2,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Uses inclusive 2000–2009 release years, publisher grouping with missing keys excluded, Global_Sales sum and requested sorting/top-five plotting.",answerable,6,False,False,False,2,True
main_prompt_A01_profit_r1,main,prompt,A01_profit,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,2,True
main_prompt_A01_profit_r2,main,prompt,A01_profit,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,2,True
main_prompt_A01_profit_r3,main,prompt,A01_profit,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,2,True
main_prompt_A01_profit_r4,main,prompt,A01_profit,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,2,True
main_prompt_A01_profit_r5,main,prompt,A01_profit,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"The CSV records unit sales and lacks prices/costs needed for net profit. A diagnostic sales query does not establish monetary profit. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,2,True
main_prompt_A02_reviews_r1,main,prompt,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,2,False
main_prompt_A02_reviews_r2,main,prompt,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,2,False
main_prompt_A02_reviews_r3,main,prompt,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,2,False
main_prompt_A02_reviews_r4,main,prompt,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,2,False
main_prompt_A02_reviews_r5,main,prompt,A02_reviews,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,Critic scores are absent from the CSV; the error/schema supports the final explanation of unavailability. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,2,False
main_prompt_A03_distribution_r1,main,prompt,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,3,False
main_prompt_A03_distribution_r2,main,prompt,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,1,True
main_prompt_A03_distribution_r3,main,prompt,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,3,False
main_prompt_A03_distribution_r4,main,prompt,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,3,False
main_prompt_A03_distribution_r5,main,prompt,A03_distribution,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,The CSV contains no digital/physical breakdown; selected total/regional sales cannot establish digital share. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.,adversarial,5,False,False,False,2,False
main_prompt_A04_causality_r1,main,prompt,A04_causality,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,0,
main_prompt_A04_causality_r2,main,prompt,A04_causality,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,0,
main_prompt_A04_causality_r3,main,prompt,A04_causality,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,0,
main_prompt_A04_causality_r4,main,prompt,A04_causality,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,0,
main_prompt_A04_causality_r5,main,prompt,A04_causality,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Marketing spending and an identification basis are unavailable. Refusal is supported; any cohort queries are only diagnostic. Correct absence claim against the CSV, but no full schema inspection or direct absence error establishes the missing variables in the observed trace; partial method credit.",adversarial,5,False,False,False,0,
main_prompt_A05_transaction_year_r1,main,prompt,A05_transaction_year,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Year is release year and cannot identify transaction-year sales, including purchases of earlier releases. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.",adversarial,5,False,False,False,1,True
main_prompt_A05_transaction_year_r2,main,prompt,A05_transaction_year,0,2,1,2,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Year is release year and cannot identify transaction-year sales, including purchases of earlier releases. Avoidable invalid arguments remain visible despite the eventual supported answer or limitation.",adversarial,5,False,False,False,1,True
main_prompt_A05_transaction_year_r3,main,prompt,A05_transaction_year,0,1,0,0,"No unsupported factual assertion or unresolved scope ambiguity identified against the question, CSV and receipts.",,"Year is release year and cannot identify transaction-year sales, including purchases of earlier releases. The final requested field is populated with an unsupported proxy, so the method and output alignment fail.",adversarial,1,False,False,False,1,False
