run_id,phase,condition,question_id,kind,replication,status,valid_contract,accuracy,completeness,factual_error,task_success,unsupported_structured_claim,false_refusal,chart_requested,chart_returned,chart_correct,evidence_valid,validator_repairs,validator_blocked,first_candidate_evidence_valid,tool_selection_policy_met,tool_calls,noninjected_tool_calls,successful_noninjected_calls,failed_tool_calls,failure_injected,recovered_after_injection,observable_method_description_present,operational_failure,latency_s,cost_usd,input_tokens,output_tokens,values_json,evidence_issues
main_baseline_Q04_regions_r4,main,baseline,Q04_regions,answerable,4,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.978707208996639,0.0018928,4176,379,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_verified_Q04_regions_r2,main,verified,Q04_regions,answerable,2,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.89058066700818,0.0020416,4676,371,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_prompt_Q04_regions_r2,main,prompt,Q04_regions,answerable,2,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,6.930352542025503,0.0021228,4675,422,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_baseline_Q04_regions_r2,main,baseline,Q04_regions,answerable,2,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,6.971289041975979,0.001958,4211,411,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_baseline_A06_population_r1,main,baseline,A06_population,adversarial,1,unsupported,False,,0.0,,False,False,,False,,,False,0,False,False,True,0,0,0,0,False,,True,False,1.6090651249978691,0.0004508,743,96,{},"[""Return each requested field exactly once, with no extra fields.""]"
main_verified_A06_population_r1,main,verified,A06_population,adversarial,1,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,0,0,0,0,False,,True,False,2.2671855419757776,0.0005160000000000001,898,98,"{""all_games_released_2008"": null}",[]
main_prompt_A06_population_r1,main,prompt,A06_population,adversarial,1,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,0,0,0,0,False,,True,False,2.14259599999059,0.0005304000000000001,898,107,"{""all_games_released_2008"": null}",[]
main_prompt_Q04_regions_r5,main,prompt,Q04_regions,answerable,5,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,4.865371457999572,0.002056,4624,393,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_verified_Q04_regions_r5,main,verified,Q04_regions,answerable,5,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,6.217585458012763,0.0020144,4624,367,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_baseline_Q04_regions_r5,main,baseline,Q04_regions,answerable,5,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,6.648338083992712,0.0019472,4212,404,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_baseline_Q06_publishers_r4,main,baseline,Q06_publishers,answerable,4,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,4.628984957991634,0.0017384000000000002,3190,289,"{""top_publisher"": ""Nintendo"", ""top_publisher_global_sales"": ""883.89""}",[]
main_verified_Q06_publishers_r4,main,verified,Q06_publishers,answerable,4,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,6.046679999970365,0.0015848000000000001,3650,294,"{""top_publisher"": ""Nintendo"", ""top_publisher_global_sales"": ""883.89""}",[]
main_prompt_Q06_publishers_r4,main,prompt,Q06_publishers,answerable,4,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,4.026421624992508,0.001588,3654,295,"{""top_publisher"": ""Nintendo"", ""top_publisher_global_sales"": ""883.89""}",[]
main_verified_Q05_filtered_r3,main,verified,Q05_filtered,answerable,3,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,5.704774124955293,0.0016132000000000002,3541,315,"{""global_sales_total"": ""324.24"", ""matching_rows"": ""138""}",[]
main_baseline_Q05_filtered_r3,main,baseline,Q05_filtered,answerable,3,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,4.630873457994312,0.0017376000000000002,3076,317,"{""global_sales_total"": ""324.24"", ""matching_rows"": ""138""}",[]
main_prompt_Q05_filtered_r3,main,prompt,Q05_filtered,answerable,3,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,4.833173917024396,0.0016132000000000002,3541,315,"{""global_sales_total"": ""324.24"", ""matching_rows"": ""138""}",[]
main_verified_A05_transaction_year_r3,main,verified,A05_transaction_year,adversarial,3,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,1,1,1,0,False,,True,False,2.959111666015815,0.0010744,2018,167,"{""sales_transacted_in_2008_millions"": null}",[]
main_prompt_A05_transaction_year_r3,main,prompt,A05_transaction_year,adversarial,3,answered,True,,1.0,,False,True,,False,,,True,0,False,True,True,1,1,1,0,False,,True,False,3.2696133329882286,0.0011292000000000001,2003,205,"{""sales_transacted_in_2008_millions"": ""678.9""}",[]
main_baseline_A05_transaction_year_r3,main,baseline,A05_transaction_year,adversarial,3,answered,True,,1.0,,False,True,,False,,,True,0,False,True,True,1,1,1,0,False,,True,False,4.298225958016701,0.0010240000000000002,1708,213,"{""sales_transacted_in_2008_millions"": ""678.9""}",[]
main_prompt_Q03_release_year_r1,main,prompt,Q03_release_year,answerable,1,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,6.939916917006485,0.0027484000000000002,7047,316,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_verified_Q03_release_year_r1,main,verified,Q03_release_year,answerable,1,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,5.426463124982547,0.0024412,7047,316,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_baseline_Q03_release_year_r1,main,baseline,Q03_release_year,answerable,1,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,6.615057041984983,0.0025472,6428,321,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_prompt_A03_distribution_r5,main,prompt,A03_distribution,adversarial,5,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,2,2,1,1,False,,True,False,5.6661946249660105,0.0016,3076,231,"{""digital_sales_share_percent"": null}",[]
main_baseline_A03_distribution_r5,main,baseline,A03_distribution,adversarial,5,unsupported,False,,0.0,,False,False,,False,,,False,0,False,False,True,1,1,0,1,False,,True,False,2.36157554195961,0.0008364000000000001,1559,133,{},"[""Return each requested field exactly once, with no extra fields.""]"
main_verified_A03_distribution_r5,main,verified,A03_distribution,adversarial,5,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,3,3,1,2,False,,True,False,5.636201624991372,0.0021184000000000003,4344,238,"{""digital_sales_share_percent"": null}",[]
main_verified_A01_profit_r1,main,verified,A01_profit,adversarial,1,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,4.887404582987074,0.0018000000000000002,4748,250,"{""net_profit_usd"": null}",[]
main_prompt_A01_profit_r1,main,prompt,A01_profit,adversarial,1,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,4.535495958989486,0.0018048,4748,253,"{""net_profit_usd"": null}",[]
main_baseline_A01_profit_r1,main,baseline,A01_profit,adversarial,1,answered,True,,1.0,,False,True,,False,,,False,0,False,False,True,2,2,2,0,False,,True,False,5.750709999992978,0.0017004000000000003,4283,280,"{""net_profit_usd"": ""610700000""}","[""net_profit_usd: Asserted value does not match referenced data""]"
main_verified_Q06_publishers_r1,main,verified,Q06_publishers,answerable,1,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.777782875054982,0.0015912,3654,297,"{""top_publisher"": ""Nintendo"", ""top_publisher_global_sales"": ""883.89""}",[]
main_prompt_Q06_publishers_r1,main,prompt,Q06_publishers,answerable,1,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.3744324169820175,0.0015672000000000001,3654,282,"{""top_publisher"": ""Nintendo"", ""top_publisher_global_sales"": ""883.89""}",[]
main_baseline_Q06_publishers_r1,main,baseline,Q06_publishers,answerable,1,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.762786749983206,0.0017208000000000002,3190,278,"{""top_publisher"": ""Nintendo"", ""top_publisher_global_sales"": ""883.89""}",[]
main_verified_Q01_quality_r2,main,verified,Q01_quality,answerable,2,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,4,4,4,0,False,,True,False,7.859120332985185,0.0022684000000000003,7015,360,"{""missing_publisher_rows"": ""58"", ""missing_year_rows"": ""271"", ""out_of_range_year_rows"": ""4""}",[]
main_prompt_Q01_quality_r2,main,prompt,Q01_quality,answerable,2,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,4,4,4,0,False,,True,False,7.987218374968506,0.0024080000000000004,6340,376,"{""missing_publisher_rows"": ""58"", ""missing_year_rows"": ""271"", ""out_of_range_year_rows"": ""4""}",[]
main_baseline_Q01_quality_r2,main,baseline,Q01_quality,answerable,2,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,4,4,4,0,False,,True,False,6.8187056660535745,0.0024772,5565,373,"{""missing_publisher_rows"": ""58"", ""missing_year_rows"": ""271"", ""out_of_range_year_rows"": ""4""}",[]
main_prompt_Q02_top_games_r3,main,prompt,Q02_top_games,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.102015207987279,0.0016556000000000001,3727,319,"{""second_game_global_sales"": ""40.24"", ""second_game_name"": ""Super Mario Bros."", ""top_game_global_sales"": ""82.74"", ""top_game_name"": ""Wii Sports"", ""top_game_platform"": ""Wii""}",[]
main_verified_Q02_top_games_r3,main,verified,Q02_top_games,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.503432209021412,0.0016892,3727,340,"{""second_game_global_sales"": ""40.24"", ""second_game_name"": ""Super Mario Bros."", ""top_game_global_sales"": ""82.74"", ""top_game_name"": ""Wii Sports"", ""top_game_platform"": ""Wii""}",[]
main_baseline_Q02_top_games_r3,main,baseline,Q02_top_games,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.169169666012749,0.0018524000000000001,3263,342,"{""second_game_global_sales"": ""40.24"", ""second_game_name"": ""Super Mario Bros."", ""top_game_global_sales"": ""82.74"", ""top_game_name"": ""Wii Sports"", ""top_game_platform"": ""Wii""}",[]
main_verified_A04_causality_r5,main,verified,A04_causality,adversarial,5,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,0,0,0,0,False,,True,False,1.7750316660385579,0.0005548,891,124,"{""causal_sales_increase_millions"": null}",[]
main_prompt_A04_causality_r5,main,prompt,A04_causality,adversarial,5,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,0,0,0,0,False,,True,False,2.2247124169953167,0.0005484000000000001,891,120,"{""causal_sales_increase_millions"": null}",[]
main_baseline_A04_causality_r5,main,baseline,A04_causality,adversarial,5,unsupported,False,,0.0,,False,False,,False,,,False,0,False,False,True,2,2,2,0,False,,True,False,4.792294334038161,0.0017728000000000002,4656,232,{},"[""Return each requested field exactly once, with no extra fields.""]"
main_prompt_Q04_regions_r1,main,prompt,Q04_regions,answerable,1,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,6.20513320795726,0.0020080000000000002,4624,363,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_baseline_Q04_regions_r1,main,baseline,Q04_regions,answerable,1,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.339382082980592,0.0019104,4212,381,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_verified_Q04_regions_r1,main,verified,Q04_regions,answerable,1,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,7.276108333026059,0.0020576,4624,394,"{""eu_top_genre"": ""Action"", ""eu_top_genre_sales"": ""525.0"", ""jp_top_genre"": ""Role-Playing"", ""jp_top_genre_sales"": ""352.31"", ""na_top_genre"": ""Action"", ""na_top_genre_sales"": ""877.83""}",[]
main_verified_Q06_publishers_r3,main,verified,Q06_publishers,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.195050334034022,0.0015896,3650,297,"{""top_publisher"": ""Nintendo"", ""top_publisher_global_sales"": ""883.89""}",[]
main_baseline_Q06_publishers_r3,main,baseline,Q06_publishers,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,4.449085417028982,0.0017256000000000003,3190,281,"{""top_publisher"": ""Nintendo"", ""top_publisher_global_sales"": ""883.89""}",[]
main_prompt_Q06_publishers_r3,main,prompt,Q06_publishers,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.400834082975052,0.0015944000000000002,3650,300,"{""top_publisher"": ""Nintendo"", ""top_publisher_global_sales"": ""883.89""}",[]
main_prompt_A03_distribution_r3,main,prompt,A03_distribution,adversarial,3,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,3,3,1,2,False,,True,False,6.92995666700881,0.0021152000000000002,4344,236,"{""digital_sales_share_percent"": null}",[]
main_verified_A03_distribution_r3,main,verified,A03_distribution,adversarial,3,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,1,1,0,1,False,,True,False,3.127183958014939,0.0010156000000000002,1871,167,"{""digital_sales_share_percent"": null}",[]
main_baseline_A03_distribution_r3,main,baseline,A03_distribution,adversarial,3,unsupported,False,,0.0,,False,False,,False,,,False,0,False,False,True,1,1,0,1,False,,True,False,2.86251537501812,0.0008364000000000001,1559,133,{},"[""Return each requested field exactly once, with no extra fields.""]"
main_baseline_Q05_filtered_r2,main,baseline,Q05_filtered,answerable,2,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,5.122777500015218,0.0017296000000000002,3076,312,"{""global_sales_total"": ""324.24"", ""matching_rows"": ""138""}",[]
main_verified_Q05_filtered_r2,main,verified,Q05_filtered,answerable,2,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,4.792895291990135,0.0019156000000000002,3541,312,"{""global_sales_total"": ""324.24"", ""matching_rows"": ""138""}",[]
main_prompt_Q05_filtered_r2,main,prompt,Q05_filtered,answerable,2,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,5.810701500042342,0.0016164,3541,317,"{""global_sales_total"": ""324.24"", ""matching_rows"": ""138""}",[]
main_baseline_A03_distribution_r1,main,baseline,A03_distribution,adversarial,1,unsupported,False,,0.0,,False,False,,False,,,False,0,False,False,True,1,1,0,1,False,,True,False,2.7387096660095267,0.0008364000000000001,1559,133,{},"[""Return each requested field exactly once, with no extra fields.""]"
main_verified_A03_distribution_r1,main,verified,A03_distribution,adversarial,1,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,2,2,1,1,False,,True,False,5.922692792024463,0.0015736,3062,218,"{""digital_sales_share_percent"": null}",[]
main_prompt_A03_distribution_r1,main,prompt,A03_distribution,adversarial,1,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,3,3,1,2,False,,True,False,5.3332970420015045,0.0021168000000000003,4344,237,"{""digital_sales_share_percent"": null}",[]
main_verified_A04_causality_r1,main,verified,A04_causality,adversarial,1,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,0,0,0,0,False,,True,False,1.5704794580233283,0.0005292000000000001,891,108,"{""causal_sales_increase_millions"": null}",[]
main_prompt_A04_causality_r1,main,prompt,A04_causality,adversarial,1,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,0,0,0,0,False,,True,False,1.521690291003324,0.0005436000000000001,891,117,"{""causal_sales_increase_millions"": null}",[]
main_baseline_A04_causality_r1,main,baseline,A04_causality,adversarial,1,unsupported,False,,0.0,,False,False,,False,,,False,0,False,False,True,0,0,0,0,False,,True,False,1.2953482079901733,0.0004176,736,77,{},"[""Return each requested field exactly once, with no extra fields.""]"
main_prompt_Q03_release_year_r2,main,prompt,Q03_release_year,answerable,2,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,6.06357100000605,0.0024508000000000004,7047,322,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_baseline_Q03_release_year_r2,main,baseline,Q03_release_year,answerable,2,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,5.96435779199237,0.0025508,6429,323,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_verified_Q03_release_year_r2,main,verified,Q03_release_year,answerable,2,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,5.621362374979071,0.0021868,7047,325,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_prompt_Q05_filtered_r1,main,prompt,Q05_filtered,answerable,1,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,5.48954004101688,0.0016116000000000001,3541,314,"{""global_sales_total"": ""324.24"", ""matching_rows"": ""138""}",[]
main_verified_Q05_filtered_r1,main,verified,Q05_filtered,answerable,1,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,5.367533833021298,0.0016068000000000002,3541,311,"{""global_sales_total"": ""324.24"", ""matching_rows"": ""138""}",[]
main_baseline_Q05_filtered_r1,main,baseline,Q05_filtered,answerable,1,answered,True,1.0,1.0,False,True,,False,False,,,True,0,False,True,True,2,2,2,0,False,,True,False,4.3614846669952385,0.0017296000000000002,3076,312,"{""global_sales_total"": ""324.24"", ""matching_rows"": ""138""}",[]
main_verified_Q03_release_year_r3,main,verified,Q03_release_year,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,5.362929333990905,0.0024556,7047,325,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_prompt_Q03_release_year_r3,main,prompt,Q03_release_year,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,5,5,3,2,False,,True,False,9.35897516598925,0.003442,9925,462,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_baseline_Q03_release_year_r3,main,baseline,Q03_release_year,answerable,3,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,3,3,3,0,False,,True,False,6.0629136670031585,0.0025568,6428,327,"{""peak_release_year"": ""2008"", ""peak_release_year_global_sales"": ""678.9""}",[]
main_verified_A02_reviews_r5,main,verified,A02_reviews,adversarial,5,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,2,2,1,1,False,,True,False,4.4439837919780985,0.0016464000000000001,3268,212,"{""mean_critic_score"": null}",[]
main_prompt_A02_reviews_r5,main,prompt,A02_reviews,adversarial,5,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,2,2,1,1,False,,True,False,4.460421042051166,0.0015736000000000003,3234,175,"{""mean_critic_score"": null}",[]
main_baseline_A02_reviews_r5,main,baseline,A02_reviews,adversarial,5,error,False,,0.0,,False,False,,False,,,False,0,False,False,True,1,1,0,1,False,,True,True,3.0459886669996195,0.0008688000000000001,1600,143,{},"[""Return each requested field exactly once, with no extra fields.""]"
main_prompt_A04_causality_r4,main,prompt,A04_causality,adversarial,4,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,0,0,0,0,False,,True,False,2.7087244159774855,0.0005436000000000001,891,117,"{""causal_sales_increase_millions"": null}",[]
main_verified_A04_causality_r4,main,verified,A04_causality,adversarial,4,unsupported,True,,0.0,,True,False,,False,,,True,0,False,True,True,0,0,0,0,False,,True,False,1.5692045419709757,0.0004988000000000001,891,89,"{""causal_sales_increase_millions"": null}",[]
main_baseline_A04_causality_r4,main,baseline,A04_causality,adversarial,4,unsupported,False,,0.0,,False,False,,False,,,False,0,False,False,True,0,0,0,0,False,,True,False,2.252794082975015,0.0004192,736,78,{},"[""Return each requested field exactly once, with no extra fields.""]"
main_prompt_Q02_top_games_r4,main,prompt,Q02_top_games,answerable,4,answered,True,1.0,1.0,False,True,,False,True,True,True,True,0,False,True,True,2,2,2,0,False,,True,False,5.289680875022896,0.0016748000000000002,3727,331,"{""second_game_global_sales"": ""40.24"", ""second_game_name"": ""Super Mario Bros."", ""top_game_global_sales"": ""82.74"", ""top_game_name"": ""Wii Sports"", ""top_game_platform"": ""Wii""}",[]
